English,Spanish,French,German,Italian
signs,signos / senales,signes,Zeichen / Schilder,segni / segnali
lack,falta / carecer,manque / manquer,Mangel / fehlen,mancanza / mancare
depth,profundidad,profondeur,Tiefe,profondita
iowa,Iowa,Iowa,Iowa,Iowa
whatever,lo que sea,quoi que ce soit,was auch immer,qualunque cosa
logged,registrado / conectado,enregistre / connecte,protokolliert / eingeloggt,registrato / connesso
laptop,portatil,ordinateur portable,Laptop,portatile
vintage,vintage / antiguo,vintage / ancien,Vintage / alt,vintage / antico
train,tren / entrenar,train / entrainer,Zug / trainieren,treno / allenare
exactly,exactamente,exactement,genau,esattamente
dry,seco,sec,trocken,secco
explore,explorar,explorer,erkunden,esplorare
maryland,Maryland,Maryland,Maryland,Maryland
spa,spa,spa,Spa,spa
concept,concepto,concept,Konzept,concetto
nearly,casi,presque,fast,quasi
eligible,elegible,eligible,berechtigt,idoneo
checkout,pago / salida,paiement / caisse,Kasse / Checkout,cassa / checkout
reality,realidad,realite,Realitat,realta
forgot,olvido,a oublie,vergass,ha dimenticato
handling,manejo / gestion,manipulation / gestion,Handhabung,gestione / manipolazione
origin,origen,origine,Ursprung,origine
knew,sabia / conocia,savait / connaissait,wusste / kannte,sapeva / conosceva
gaming,juegos / gaming,jeu video / gaming,Gaming / Spielen,gaming / gioco
feeds,fuentes / alimenta,flux / nourrit,Feeds / speist,feed / alimenta
billion,mil millones,milliard,Milliarde,miliardo
destination,destino,destination,Ziel,destinazione
scotland,Escocia,Ecosse,Schottland,Scozia
faster,mas rapido,plus rapide,schneller,piu veloce
intelligence,inteligencia,intelligence,Intelligenz,intelligenza
dallas,Dallas,Dallas,Dallas,Dallas
bought,compro / comprado,a achete,kaufte,ha comprato
con,con / estafa,contre / arnaque,Contra / Betrug,contro / truffa
ups,UPS / subidas,UPS / hausses,UPS / Aufs,UPS / rialzi
nations,naciones,nations,Nationen,nazioni
route,ruta,itineraire / route,Route,rotta / percorso
followed,siguio / seguido,a suivi / suivi,folgte / gefolgt,ha seguito / seguito
specifications,especificaciones,specifications,Spezifikationen,specifiche
broken,roto,casse,kaputt / zerbrochen,rotto
tripadvisor,Tripadvisor,Tripadvisor,Tripadvisor,Tripadvisor
frank,Frank,Frank,Frank,Frank
alaska,Alaska,Alaska,Alaska,Alaska
zoom,zoom,zoom,Zoom,zoom
blow,soplar / golpe,souffler / coup,blasen / Schlag,soffiare / colpo
battle,batalla,bataille,Schlacht,battaglia
residential,residencial,residentiel,Wohn- / residentiell,residenziale
anime,anime,anime,Anime,anime
speak,hablar,parler,sprechen,parlare
decisions,decisiones,decisions,Entscheidungen,decisioni
industries,industrias,industries,Industrien,industrie
protocol,protocolo,protocole,Protokoll,protocollo
query,consulta,requete,Abfrage,query / richiesta
clip,clip / sujetar,clip / attacher,Clip / befestigen,clip / agganciare
partnership,asociacion / alianza,partenariat,Partnerschaft,partnership / alleanza
editorial,editorial,editorial,redaktionell / Leitartikel,editoriale
expression,expresion,expression,Ausdruck,espressione
equity,equidad / patrimonio,equite / capitaux propres,Eigenkapital / Gerechtigkeit,equita / patrimonio netto
provisions,disposiciones / provisiones,dispositions / provisions,Bestimmungen / Vorrate,disposizioni / provviste
speech,discurso / habla,discours / parole,Rede / Sprache,discorso / parlato
wire,cable / alambre,fil,Draht / Kabel,filo / cavo
principles,principios,principes,Prinzipien,principi
suggestions,sugerencias,suggestions,Vorschlage,suggerimenti
rural,rural,rural,landlich,rurale
shared,compartido,partage,geteilt,condiviso
sounds,sonidos / suena,sons / semble,Klange / klingt,suoni / sembra
replacement,reemplazo,remplacement,Ersatz,sostituzione
tape,cinta,bande / ruban,Band / Klebeband,nastro
strategic,estrategico,strategique,strategisch,strategico
judge,juez / juzgar,juge / juger,Richter / beurteilen,giudice / giudicare
spam,spam,spam,Spam,spam
economics,economia,economie,Wirtschaft / Okonomie,economia
acid,acido,acide,Saure,acido
bytes,bytes,octets / bytes,Bytes,byte
cent,centavo,centime,Cent,centesimo
forced,forzado,force,gezwungen,forzato
compatible,compatible,compatible,kompatibel,compatibile
fight,pelea / luchar,combat / lutter,Kampf / kampfen,lotta / combattere
apartment,apartamento,appartement,Wohnung,appartamento
height,altura,hauteur,Hohe,altezza
null,nulo,nul,null,nullo
zero,cero,zero,null / Zero,zero
speaker,orador / altavoz,orateur / haut-parleur,Sprecher / Lautsprecher,oratore / altoparlante
filed,presentado / archivado,depose / classe,eingereicht / abgelegt,depositato / archiviato
netherlands,Paises Bajos,Pays-Bas,Niederlande,Paesi Bassi
obtain,obtener,obtenir,erhalten,ottenere
consulting,consultoria,conseil / consultation,Beratung,consulenza
recreation,recreacion,loisir / recreation,Erholung / Freizeit,ricreazione
offices,oficinas,bureaux,Buros,uffici
designer,disenador,designer / concepteur,Designer,designer / progettista
remain,permanecer,rester,bleiben,rimanere
managed,gestionado / administrado,gere,verwaltet,gestito
failed,fallido / fracaso,echoue,gescheitert / fehlgeschlagen,fallito
marriage,matrimonio,mariage,Ehe,matrimonio
roll,rodar / rollo,rouler / rouleau,rollen / Rolle,rotolare / rotolo
korea,Corea,Coree,Korea,Corea
banks,bancos,banques,Banken,banche
participants,participantes,participants,Teilnehmer,partecipanti
secret,secreto,secret,Geheimnis,segreto
bath,bano,bain,Bad,bagno
kelly,Kelly,Kelly,Kelly,Kelly
leads,pistas / dirige,pistes / mene,Leads / fuhrt,indizi / guida
negative,negativo,negatif,negativ,negativo
austin,Austin,Austin,Austin,Austin
favorites,favoritos,favoris,Favoriten,preferiti
toronto,Toronto,Toronto,Toronto,Toronto
theater,teatro,theatre,Theater,teatro
springs,manantiales / resortes,sources / ressorts,Quellen / Federn,sorgenti / molle
missouri,Misuri,Missouri,Missouri,Missouri
andrew,Andrew,Andrew,Andrew,Andrew
var,var,var,var,var
perform,realizar / interpretar,executer / jouer,ausfuhren / auftreten,eseguire / interpretare
healthy,saludable,sain,gesund,sano
translation,traduccion,traduction,Ubersetzung,traduzione
estimates,estimaciones,estimations,Schatzungen,stime
font,fuente tipografica,police,Schriftart,font / carattere
assets,activos,actifs,Vermogenswerte,attivita
injury,lesion,blessure,Verletzung,lesione
joseph,Joseph,Joseph,Joseph,Joseph
ministry,ministerio,ministere,Ministerium,ministero
drivers,conductores,conducteurs,Fahrer,conducenti
lawyer,abogado,avocat,Anwalt,avvocato
figures,cifras / figuras,chiffres / figures,Zahlen / Figuren,cifre / figure
married,casado,marie,verheiratet,sposato
protected,protegido,protege,geschutzt,protetto
proposal,propuesta,proposition,Vorschlag,proposta
sharing,compartiendo,partage,Teilen,condivisione
philadelphia,Filadelfia,Philadelphie,Philadelphia,Filadelfia
portal,portal,portail,Portal,portale
waiting,esperando,attente,wartend,in attesa
birthday,cumpleanos,anniversaire,Geburtstag,compleanno
beta,beta,beta,Beta,beta
fail,fallar,echouer,scheitern,fallire
gratis,gratis,gratuit,gratis,gratis
banking,banca,banque,Bankwesen,bancario
officials,funcionarios,responsables,Beamte,funzionari
brian,Brian,Brian,Brian,Brian
toward,hacia,vers,in Richtung,verso
won,gano,a gagne,gewann,ha vinto
slightly,ligeramente,legerement,leicht,leggermente
assist,ayudar,aider,unterstutzen,assistere
conduct,conducta / realizar,conduite / mener,Verhalten / durchfuhren,condotta / svolgere
contained,contenido / contenia,contenu,enthalten,contenuto
lingerie,lenceria,lingerie,Dessous,lingerie
legislation,legislacion,legislation,Gesetzgebung,legislazione
calling,llamando,appelant,anrufend,chiamando
parameters,parametros,parametres,Parameter,parametri
jazz,jazz,jazz,Jazz,jazz
serving,sirviendo,servant,dienend,servendo
bags,bolsas,sacs,Taschen,borse
profiles,perfiles,profils,Profile,profili
miami,Miami,Miami,Miami,Miami
comics,comics,bandes dessinees,Comics,fumetti
matters,asuntos / importa,questions / importe,Angelegenheiten / ist wichtig,questioni / importa
houses,casas,maisons,Hauser,case
doc,doc,doc,Dok,doc
postal,postal,postal,postalisch,postale
relationships,relaciones,relations,Beziehungen,relazioni
tennessee,Tennessee,Tennessee,Tennessee,Tennessee
wear,usar / llevar puesto,porter,tragen,indossare
controls,controles,controles,Steuerungen / Kontrollen,controlli
breaking,rompiendo / urgente,cassant / de derniere minute,brechend / aktuell,rompendo / urgente
combined,combinado,combine,kombiniert,combinato
ultimate,ultimo / definitivo,ultime / definitif,ultimativ / endgultig,ultimo / definitivo
wales,Gales,Pays de Galles,Wales,Galles
representative,representante,representant,Vertreter,rappresentante
frequency,frecuencia,frequence,Frequenz,frequenza
introduced,introducido,introduit,eingefuhrt,introdotto
minor,menor / secundario,mineur,gering / Minder-,minore
finish,terminar / final,finir / fin,beenden / Ende,finire / fine
departments,departamentos,departements,Abteilungen,dipartimenti
residents,residentes,residents,Einwohner,residenti
noted,anotado / senalado,note,vermerkt,notato
displayed,mostrado,affiche,angezeigt,mostrato
mom,mama,maman,Mama,mamma
reduced,reducido,reduite,reduziert,ridotto
physics,fisica,physique,Physik,fisica
rare,raro,rare,selten,raro
spent,gastado / paso,depense / passe,ausgegeben / verbrachte,speso / trascorso
performed,realizado / interpretado,effectue / interprete,durchgefuhrt / aufgefuhrt,eseguito / interpretato
extreme,extremo,extreme,extrem,estremo
samples,muestras,echantillons,Proben,campioni
davis,Davis,Davis,Davis,Davis
daniel,Daniel,Daniel,Daniel,Daniel
bars,barras / bares,barres / bars,Balken / Bars,barre / bar
reviewed,revisado,revise,uberpruft,revisionato
row,fila,rangee,Reihe,riga
forecast,pronostico,prevision,Prognose,previsione
removed,eliminado,supprime,entfernt,rimosso
helps,ayuda,aide,hilft,aiuta
singles,solteros / sencillos,celibataires / simples,Singles / Einzelne,single / singoli
administrator,administrador,administrateur,Administrator,amministratore
cycle,ciclo / bicicleta,cycle,Zyklus / Fahrrad,ciclo
amounts,cantidades,montants,Betrage,importi
contain,contener,contenir,enthalten,contenere
accuracy,precision,precision,Genauigkeit,precisione
dual,dual / doble,double / dual,dual / doppelt,duale / doppio
rise,subir / aumento,monter / hausse,steigen / Anstieg,salire / aumento
sleep,dormir / sueno,dormir / sommeil,schlafen / Schlaf,dormire / sonno
bird,pajaro,oiseau,Vogel,uccello
pharmacy,farmacia,pharmacie,Apotheke,farmacia
brazil,Brasil,Bresil,Brasilien,Brasile
creation,creacion,creation,Schopfung / Erstellung,creazione
static,estatico,statique,statisch,statico
scene,escena,scene,Szene,scena
hunter,cazador,chasseur,Jager,cacciatore
addresses,direcciones,adresses,Adressen,indirizzi
lady,dama,dame,Dame,signora
crystal,cristal,cristal,Kristall,cristallo
famous,famoso,celebre,beruhmt,famoso
writer,escritor,ecrivain,Schriftsteller,scrittore
chairman,presidente,president,Vorsitzender,presidente
violence,violencia,violence,Gewalt,violenza
fans,fans / aficionados,fans,Fans,fan / tifosi
oklahoma,Oklahoma,Oklahoma,Oklahoma,Oklahoma
speakers,oradores / altavoces,orateurs / haut-parleurs,Sprecher / Lautsprecher,oratori / altoparlanti
drink,beber / bebida,boire / boisson,trinken / Getrank,bere / bevanda
academy,academia,academie,Akademie,accademia
dynamic,dinamico,dynamique,dynamisch,dinamico
gender,genero,genre,Geschlecht,genere
eat,comer,manger,essen,mangiare
permanent,permanente,permanent,dauerhaft,permanente
agriculture,agricultura,agriculture,Landwirtschaft,agricoltura
dell,Dell,Dell,Dell,Dell
cleaning,limpieza,nettoyage,Reinigung,pulizia
constitutes,constituye,constitue,stellt dar,costituisce
portfolio,cartera / portafolio,portefeuille,Portfolio,portafoglio
practical,practico,pratique,praktisch,pratico
delivered,entregado,livre,geliefert,consegnato
collectibles,coleccionables,objets de collection,Sammlerstucke,oggetti da collezione
infrastructure,infraestructura,infrastructure,Infrastruktur,infrastruttura
exclusive,exclusivo,exclusif,exklusiv,esclusivo
seat,asiento,siege,Sitz,sedile
concerns,preocupaciones / asuntos,preoccupations,Bedenken / Anliegen,preoccupazioni
vendor,vendedor / proveedor,vendeur / fournisseur,Anbieter / Handler,venditore / fornitore
originally,originalmente,a l origine,ursprunglich,originariamente
intel,Intel,Intel,Intel,Intel
utilities,servicios publicos,services publics,Versorgungsunternehmen,servizi pubblici
philosophy,filosofia,philosophie,Philosophie,filosofia
regulation,regulacion,reglementation,Regelung,regolamento
officers,oficiales,officiers,Beamte / Offiziere,ufficiali
reduction,reduccion,reduction,Reduktion,riduzione
aim,objetivo / apuntar,objectif / viser,Ziel / zielen,obiettivo / mirare
bids,ofertas / pujas,offres / encheres,Gebote,offerte / rilanci
referred,referido / mencionado,mentionne / renvoye,verwiesen / erwahnt,riferito / menzionato
supports,apoya / soporta,soutient / prend en charge,unterstutzt,supporta
nutrition,nutricion,nutrition,Ernahrung,nutrizione
recording,grabacion,enregistrement,Aufnahme,registrazione
regions,regiones,regions,Regionen,regioni
junior,junior / menor,junior,Junior,junior
toll,peaje,peage,Maut,pedaggio
les,les,les,les,les
cape,capa / cabo,cape / cap,Umhang / Kap,mantello / capo
ann,Ann,Ann,Ann,Ann
rings,anillos / suena,bagues / sonne,Ringe / klingelt,anelli / suona
meaning,significado,signification,Bedeutung,significato
tip,consejo / punta,conseil / pointe,Tipp / Spitze,consiglio / punta
secondary,secundario,secondaire,sekundar,secondario
wonderful,maravilloso,merveilleux,wunderbar,meraviglioso
mine,mio / mina,mien / mine,mein / Mine,mio / miniera
ladies,damas,dames,Damen,signore
henry,Henry,Henry,Henry,Henry
ticket,boleto / entrada,billet,Ticket / Fahrkarte,biglietto
announced,anunciado,annonce,angekundigt,annunciato
guess,adivinar / supongo,deviner / je suppose,raten / Vermutung,indovinare / supporre
agreed,acordado,accepte / convenu,vereinbart,concordato
prevention,prevencion,prevention,Pravention,prevenzione
whom,a quien,qui,wen / wem,chi / a chi
ski,esqui,ski,Ski,sci
soccer,futbol,football,Fussball,calcio
math,matematicas,maths,Mathematik,matematica
import,importar / importacion,importer / importation,importieren / Import,importare / importazione
posting,publicacion,publication / affichage,Posting / Veroffentlichung,pubblicazione
presence,presencia,presence,Prasenz,presenza
instant,instantaneo,instantane,sofortig / augenblicklich,istantaneo
mentioned,mencionado,mentionne,erwahnt,menzionato
automatic,automatico,automatique,automatisch,automatico
healthcare,atencion medica,soins de sante,Gesundheitswesen,assistenza sanitaria
viewing,visualizacion / viendo,visionnage,Ansicht / Betrachten,visualizzazione
maintained,mantenido,maintenu,aufrechterhalten,mantenuto
increasing,aumentando,augmentant,steigend,aumentando
majority,mayoria,majorite,Mehrheit,maggioranza
connected,conectado,connecte,verbunden,connesso
christ,Cristo,Christ,Christus,Cristo
dan,Dan,Dan,Dan,Dan
dogs,perros,chiens,Hunde,cani
directors,directores,directeurs,Direktoren,direttori
aspects,aspectos,aspects,Aspekte,aspetti
austria,Austria,Autriche,Osterreich,Austria
ahead,adelante,en avance,voraus,avanti
moon,luna,lune,Mond,luna
participation,participacion,participation,Teilnahme,partecipazione
scheme,esquema / plan,schema / plan,Schema / System,schema / piano
utility,utilidad / servicio,utilite / service public,Nutzen / Versorger,utilita / servizio
preview,vista previa,apercu,Vorschau,anteprima
fly,volar / mosca,voler / mouche,fliegen / Fliege,volare / mosca
manner,manera,maniere,Art und Weise,maniera
matrix,matriz,matrice,Matrix,matrice
containing,conteniendo,contenant,enthaltend,contenente
combination,combinacion,combinaison,Kombination,combinazione
devel,devel,devel,devel,devel
amendment,enmienda,amendement,Anderung,emendamento
despite,a pesar de,malgre,trotz,nonostante
strength,fuerza,force,Starke,forza
guaranteed,garantizado,garanti,garantiert,garantito
turkey,Turquia / pavo,Turquie / dinde,Turkei / Truthahn,Turchia / tacchino
libraries,bibliotecas,bibliotheques,Bibliotheken,biblioteche
proper,adecuado / correcto,approprie / correct,geeignet / korrekt,adeguato / corretto
distributed,distribuido,distribue,verteilt,distribuito
degrees,grados,degres,Grade,gradi
singapore,Singapur,Singapour,Singapur,Singapore
enterprises,empresas,entreprises,Unternehmen,imprese
